# TOP 10 Rank
# ZCZC WEEK GITHUB-USERNAME
ZCZC W00 mzahranagung
ZCZC W00 hockyy
ZCZC W00 alfina-megasiwi
ZCZC W01 nadhirarafik
ZCZC W01 nadifahsn
ZCZC W01 nadilatusifa12
ZCZC W02 nabiladitaputri
ZCZC W02 nfrobby
ZCZC W02 nisadn
ZCZC W03 natsyz
ZCZC W03 naufaladi35
ZCZC W03 night1010
ZCZC W04 naradhipabhary
ZCZC W04 nadhirarafik
ZCZC W04 nadifahsn
ZCZC W05 nadilatusifa12
ZCZC W05 nabiladitaputri
ZCZC W05 nfrobby
ZCZC W06 nisadn
ZCZC W06 natsyz
ZCZC W06 naufaladi35
ZCZC W07 Night1010
ZCZC W07 nadhirarafik
ZCZC W07 nadifahsn
ZCZC W08 nabiladitaputri
ZCZC W08 nfrobby
ZCZC W08 nisadn
